11	搜真玉鏡	91.91
11	音釋	91.93
11	箋	91.95
11	樂書	91.97
11	古文奇字	92.00
11	荆楚歲時記	92.02
11	揚子	92.04
11	春秋繁露	92.07
11	騈雅	92.09
10	奇字韻	92.11
10	歸藏	92.13
10	三蒼	92.15
10	說文解字注	92.17
10	字說	92.19
10	今文尚書	92.21
10	列仙傳	92.23
10	荆州記	92.26
10	轉註古音	92.28
10	玉海	92.30
10	演繁露	92.32
10	皇極經世	92.34
10	六書略	92.36
10	夢溪筆談	92.38
10	靑箱雜記	92.40
10	金壷字考	92.42
9	歸藏易	92.44
9	略記字始	92.46
9	示兒編	92.48
9	談薈	92.50
9	本草釋名	92.52
9	圖經	92.53
9	楞嚴經	92.55
9	續漢書	92.57
9	唐六典	92.59
9	韻略	92.61
9	新字林	92.63
9	三禮圖	92.65
9	本草別錄	92.67
9	學圃餘疏	92.68
9	學圃雜疏	92.70
9	人物志	92.72
9	文獻通考	92.74
9	新序	92.76
9	古今圖書集成	92.78
8	字略	92.79
8	三尊譜錄	92.81
8	類編	92.83
8	東觀漢記	92.84
8	國語註	92.86
8	三輔決錄	92.88
8	老子	92.89
8	閩書	92.91
8	春秋元命包	92.93
8	春秋運斗樞	92.94
8	古樂府	92.96
8	同文鐸	92.98
8	註	92.99
8	六書音義	93.01
8	本草拾遺	93.03
8	史	93.04
8	傳燈錄	93.06
8	韻海	93.08
8	帝京景物略	93.09
8	詩話	93.11
8	墨子	93.13
7	字詁	93.14
7	翻譯名義集	93.16
7	古音叢目	93.17
7	國語注	93.19
7	俗呼小錄	93.20
7	齊書	93.21
7	字辨	93.23
7	三略	93.24
7	野客叢書	93.26
7	高士傳	93.27
7	化書	93.29
7	異魚圖贊	93.30
7	集成	93.32
7	搜神記	93.33
7	容齋隨筆	93.35
7	孫子	93.36
7	韻經	93.37
7	穀梁傳	93.39
7	連山	93.40
7	春秋說題辭	93.42
7	隱義	93.43
7	韻府	93.45
7	毛詩古音考	93.46
7	十三經	93.48
7	農書	93.49
7	左氏	93.51
7	春秋緯	93.52
7	說文先訓	93.53
7	歸田錄	93.55
7	書傳	93.56
7	六韜	93.58
6	毛詩古音攷	93.59
6	周秦刻石釋音	93.60
6	𤣥中記	93.62
6	十三經注	93.63
6	漢	93.64
6	朱傳	93.65
6	高僧傳	93.67
6	寶顏堂秘笈	93.68
6	六書㴑原	93.69
6	周秦石刻釋音	93.70
6	六書總要	93.72
6	風雅廣逸	93.73
6	佩𧥏集	93.74
6	精蕰	93.75
6	考古圖	93.77
6	本草集解	93.78
6	姓纂	93.79
6	孟子註	93.80
6	輿地廣記	93.82
6	漢舊儀	93.83
6	略古	93.84
6	水經註	93.85
6	通論	93.87
6	齊東野語	93.88
6	晏子春秋	93.89
6	後魏	93.90
6	十三州志	93.92
6	法華經	93.93
6	河圖	93.94
6	夏官	93.95
6	尤射	93.97
6	元命包	93.98
6	藏經字義	93.99
6	雞林類事	94.00
6	帝王世紀	94.02
6	晉書音義	94.03
5	篇海《類編	94.04
5	太平御覽	94.05
5	茶經	94.06
5	風俗通義	94.07
5	聲譜	94.08
5	孝經緯	94.09
5	東京夢華錄	94.10
5	纂要	94.11
5	物理論	94.12
5	四庫全書總目提要	94.13
5	元覽	94.14
5	唐史	94.15
5	武林舊事	94.16
5	宣和書譜	94.17
5	書古文訓	94.18
5	禮部韻略	94.19
5	太𤣥	94.20
5	東觀餘論	94.21
5	海篇心鏡	94.23
5	商子	94.24
5	榖梁	94.25
5	病源	94.26
5	樂府解題	94.27
5	淸異錄	94.28
5	緯略	94.29
5	朱子語類	94.30
5	孔雀經	94.31
5	家訓	94.32
5	古文尙書	94.33
5	墨莊漫錄	94.34
5	閩中海錯疏	94.35
5	耳目資	94.36
5	北齊書	94.37
5	唐國史補	94.38
5	圓覺經	94.39
5	朝野僉載	94.40
5	月令章句	94.41
5	廣州記	94.42
5	筆談	94.43
5	開元遺事	94.44
5	字㝈	94.45
5	易傳	94.46
5	韻譜	94.47
5	草木蟲魚疏	94.49
5	文字指歸	94.50
5	篇海類篇	94.51
5	聞見錄	94.52
4	𡌨倉	94.52
4	交州記	94.53
4	月令廣義	94.54
4	千家姓	94.55
4	說略	94.56
4	隸釋	94.57
4	炎徼紀聞	94.57
4	中原雅音	94.58
4	漢隷	94.59
4	文字集略	94.60
4	南部新書	94.61
4	急就篇註	94.62
4	後魏書	94.62
4	事物紺珠	94.63
4	異苑	94.64
4	九經韻覽	94.65
4	駢雅	94.66
4	孝經鉤命決	94.67
4	瑞應圖	94.67
4	四庫全書	94.68
4	北魏書	94.69
4	國史補	94.70
4	天寶遺事	94.71
4	仙經	94.72
4	西溪叢語	94.72
4	鬼谷子	94.73
4	古今字考	94.74
4	貫珠集	94.75
4	古音略	94.76
4	字苑	94.77
4	古今樂錄	94.77
4	菽園雜記	94.78
4	論語註	94.79
4	亶爰集	94.80
4	法苑珠林	94.81
4	正蒙	94.82
4	太公六韜	94.82
4	眞誥	94.83
4	𨻰書	94.84
4	春明退朝錄	94.85
4	南唐書	94.86
4	算經	94.87
4	四部叢刊	94.87
4	方輿勝覽	94.88
4	臨海志	94.89
4	古音駢字	94.90
4	石林燕語	94.91
4	前書	94.92
4	東觀漢紀	94.92
4	記	94.93
4	正韻箋	94.94
4	述征記	94.95
4	草木狀	94.96
4	三秦記	94.97
4	六書	94.97
4	綱目	94.98
4	刊謬正俗	94.99
4	素問	95.00
4	古尚書	95.01
4	續高僧傳	95.02
4	江西隨函	95.02
4	食物本草	95.03
4	古音	95.04
4	杜陽雜編	95.05
4	六書精蕰	95.06
4	字學三正	95.07
4	字學元元	95.07
4	涅槃經	95.08
4	潛虛	95.09
4	楚辭章句	95.10
4	禮記	95.11
4	春官	95.12
4	申鑒	95.12
4	金石錄	95.13
4	香譜	95.14
4	逸書	95.15
4	訂正篇海	95.16
4	禮緯	95.17
4	搜眞《玉鏡	95.17
4	橘錄	95.18
4	三朝政要	95.19
3	海篇大成	95.20
3	尙書	95.20
3	翰林志	95.21
3	飛燕外傳	95.22
3	幽明錄	95.22
3	茶錄	95.23
3	大戴記	95.23
3	歲時記	95.24
3	維摩經	95.25
3	泉志	95.25
3	異字苑	95.26
3	原病集	95.27
3	五經通義	95.27
3	藝文類聚	95.28
3	政論	95.28
3	尚書傳	95.29
3	七略	95.30
3	書法	95.30
3	博物記	95.31
3	韓子	95.32
3	莊子音義	95.32
3	相鶴經	95.33
3	謝朓集	95.33
3	五經要義	95.34
3	宋史新編	95.35
3	經典釋文	95.35
3	六臣文選	95.36
3	七修類稿	95.37
3	春秋運斗極	95.37
3	北戸錄	95.38
3	禮圖	95.38
3	琅邪代醉編	95.39
3	相貝經	95.40
3	太淸金液神氣經	95.40
3	新語	95.41
3	繁露	95.42
3	尉繚子	95.42
3	尚書正義	95.43
3	中論	95.43
3	春秋釋例	95.44
3	倉頡	95.45
3	採蘭雜志	95.45
3	晉	95.46
3	氏族略	95.47
3	金陵志	95.47
3	虞衡志	95.48
3	證俗文	95.48
3	東觀記	95.49
3	林氏小說	95.50
3	典略	95.50
3	五岳眞形圖	95.51
3	五嶽真形圖	95.51
3	左氏傳	95.52
3	羣芳譜	95.53
3	雲仙雜記	95.53
3	語林	95.54
3	古三墳	95.55
3	禮書	95.55
3	五音篇韻	95.56
3	春秋元命苞	95.56
3	韻集	95.57
3	海篇金鏡	95.58
3	大傳	95.58
3	樂府	95.59
3	詩箋	95.60
3	春秋左傳	95.60
3	佛國記	95.61
3	星傳	95.61
3	南粵志	95.62
3	事物紀原	95.63
3	朱子語錄	95.63
3	食單	95.64
3	陳留風俗傳	95.65
3	華嚴經	95.65
3	曹植	95.66
3	北堂書鈔	95.66
3	東方朔	95.67
3	類韻	95.68
3	唐會要	95.68
3	藝苑雌黃	95.69
3	漢隸	95.70
3	癸辛雜識	95.70
3	切韻	95.71
3	爾雅釋文	95.71
3	唐本草註	95.72
3	岳陽風土記	95.73
3	巴蜀異物志	95.73
3	援神契	95.74
3	揚雄	95.75
3	目錄	95.75
3	六書正義	95.76
3	十洲記	95.76
3	詩本音	95.77
3	金布令甲	95.78
3	廣記	95.78
3	氏族博考	95.79
3	說文字原	95.80
3	韓詩章句	95.80
3	集傳	95.81
3	關中記	95.81
3	尚書考靈曜	95.82
3	食制	95.83
3	鐘鼎文	95.83
3	武陵記	95.84
3	集覽	95.85
3	臞仙肘後經	95.85
3	脈經	95.86
3	長安志	95.86
3	泝原	95.87
3	飮膳正要	95.88
3	史記正義	95.88
3	輿地志	95.89
3	朱註	95.90
3	松漠紀聞	95.90
3	詩地理攷	95.91
3	諸苗考	95.91
3	俗書證誤	95.92
3	考異	95.93
3	法書攷	95.93
3	圖詠	95.94
3	開放康熙字典	95.95
3	漢紀	95.95
3	周禮註	95.96
3	字書	95.96
3	吳韻	95.97
3	新唐書	95.98
3	石鼓	95.98
3	字類	95.99
3	山海	96.00
3	太極圖說	96.00
3	文字音義	96.01
3	東宮舊事	96.01
3	續竹譜	96.02
3	嶺南異物志	96.03
3	丹陽記	96.03
3	鐘鼎款識	96.04
3	曲禮	96.05
3	古詩十九首	96.05
3	大雅	96.06
3	韻龕	96.06
2	貴耳集	96.07
2	日月燈	96.07
2	尙書大傳	96.08
2	樂府原題	96.08
2	白澤圖	96.08
2	貽謀錄	96.09
2	燕翼詒謀錄	96.09
2	漢武故事	96.10
2	輦下歲時記	96.10
2	屈原	96.11
2	韻鑰	96.11
2	漢雜事祕辛	96.11
2	說文註	96.12
2	名山記	96.12
2	問奇集	96.13
2	蘇氏演義	96.13
2	華山記	96.13
2	大正新脩大藏經	96.14
2	宋史新編藝文志	96.14
2	阿彌陀經	96.15
2	廣弘明集	96.15
2	朱子家禮	96.16
2	氾勝之書	96.16
2	玉堂閑話	96.16
2	墨客揮犀	96.17
2	洛陽伽藍記	96.17
2	姓考	96.18
2	四時纂要	96.18
2	廬山記	96.18
2	琴操	96.19
2	郭璞	96.19
2	周易正義	96.20
2	三才圖會	96.20
2	莊	96.21
2	孟	96.21
2	心經	96.21
2	明一統志	96.22
2	地志	96.22
2	雲笈七籤	96.23
2	羣輔錄	96.23
2	孝經援神契	96.23
2	海錄	96.24
2	刀劒錄	96.24
2	說文繫傳	96.25
2	太公金匱	96.25
2	漢石經	96.26
2	遺書	96.26
2	轉注	96.26
2	近思錄	96.27
2	齊諧記	96.27
2	三國	96.28
2	書法離鉤	96.28
2	九州要記	96.28
2	五木經	96.29
2	方言註	96.29
2	萟林伐山	96.30
2	蓺林伐山	96.30
2	益州記	96.31
2	永泰新譜	96.31
2	白氏六帖	96.31
2	子夏易傳	96.32
2	代醉編	96.32
2	大宗地元文本論	96.33
2	花木考	96.33
2	小史	96.33
2	增修互注禮部韻略	96.34
2	釋氏要覽	96.34
2	晉中興書	96.35
2	聖賢羣輔錄	96.35
2	宋國史補	96.36
2	漢制考	96.36
2	翼	96.36
2	名苑	96.37
2	湘山野錄	96.37
2	晉史	96.38
2	明皇雜錄	96.38
2	典術	96.38
2	經解	96.39
2	洛陽花木記	96.39
2	南州記	96.40
2	寰宇志	96.40
2	演義	96.41
2	國老談苑	96.41
2	眞𦡳風土記	96.41
2	益部方物記	96.42
2	漢隷釋	96.42
2	名義考	96.43
2	語錄	96.43
2	韻牋	96.43
2	俗書刊誤	96.44
2	通卦驗	96.44
2	地理書	96.45
2	通鑒	96.45
2	本草衍義	96.46
2	金剛經	96.46
2	瀛涯勝覽	96.46
2	左	96.47
2	明制	96.47
2	函史	96.48
2	絃索辨譌	96.48
2	衍義	96.48
